specie;sex;birth_time;death_time;age;max_stamina;max_energie;max_health;max_speed;view_dist;scout_pattern;generation;fearful;patient;eater;reproductive;sociable
Cervus elaphus;Male;73690;134400;60710;-26.64202346567554;2340000.0;800.0;0.8400000000000001;320.0;[-0.021190911173663143, 0.16413975925122565, 0.3402944895390857, 0.6806578888240685, 0.6316654778718119];2;0.36596074261862166;0.5114347763331752;0.8814135987938176;0.8359104876906056;0.40579673559754326
Cervus elaphus;Femelle;73770;129430;55660;559.9988000000001;2340000.0;800.0;0.8400000000000001;320.0;[-9.72681066338188e-05, 0.1951359238784291, 0.3991329276886041, 0.6494927197697826, 0.6395491637361901];2;0.31457830596722036;0.454313624015391;0.8144089189743938;0.9159349646468518;0.40605844531749397
Cervus elaphus;Femelle;73780;127890;54110;319.99664000000007;2340000.0;800.0;0.8400000000000001;320.0;[-0.02319051893414108, 0.13841908266520583, 0.4076481212030316];2;0.4498563496734963;0.4388764703029532;0.9072650941683804;0.8909827867309457;0.45868910753354303
Cervus elaphus;Male;73780;89690;15910;79.99280000000005;2340000.0;800.0;0.8400000000000001;320.0;[-0.03318763597978931, 0.16593221794839408, 0.4783559059497672];2;0.43878058461205305;0.424800489453805;0.8522834764905175;0.8449777530187377;0.4312846039280248
Canis lupus lupus;Male;73870;112720;38850;88.54204527335531;2012400.0;1032.0;0.8064;275.2;[-0.43424429942661336, 0.02131306130734134, 0.09709293657205967, 0.37912050816352755, 0.2670069265712011];4;0.486795378501595;0.578199707993882;0.8244701592659371;0.8799542171497043;0.3286196462461558
Canis lupus lupus;Male;73870;78450;4580;-147.5395547266447;2012400.0;1032.0;0.8064;275.2;[-0.37296107872238865, -0.05229386584819429, 0.22636125600387202, 0.30467196472733304, 0.29156559423843675];4;0.28213418886560937;0.48397261718917495;0.8868692794637489;0.7528660126771245;0.4101405052009071
Meles meles;Male;74060;104950;30890;-53.009455867153214;535680.0;357.12;0.5212800000000001;160.704;[-0.12995813055535999, -0.23350934977882054];5;0.3121037675612345;0.4780200715755484;0.544423233217155;0.64037117142462;0.38972144597339553
Vulpes vulpes;Male;74210;108430;34220;-8.289186943434789;550400.0;275.2;1.0304;247.68000000000004;[-0.36912853111208643, 0.06397762038311475, 0.11647146042969278, 0.5562731786746473, 0.4073509185561466];4;0.3558263860346703;0.48389145265209577;0.8480321487476615;0.8683262227142352;0.42250550178134855
Meles meles;Femelle;74400;80250;5850;-36.966495592934486;547200.0;364.8;0.5712;164.16;[-0.37973380378023003, -0.40678711381787785, -0.5899142194973643];4;0.2783750044841865;0.4097288469695508;0.7642426297698384;0.9256271388418136;0.25489294545198043
Canis lupus lupus;Male;74810;166820;92010;146.56494012488358;2106000.0;1080.0;0.8160000000000001;288.0;[-0.045816045862433666, 0.11682650993037239, 0.41761326513737707, 0.5734450365460205, 0.3947364489236297];3;0.23307681346095557;0.5077443181971077;0.8403902543864151;0.8490011078650433;0.4389396253078072
Canis lupus lupus;Male;74810;92560;17750;-89.51905987511645;2106000.0;1080.0;0.8160000000000001;288.0;[-0.01326906401147563, 0.15918351823310695, 0.38224222933400465];3;0.3542803800584235;0.28836616080525057;0.9384415268662593;0.6840530264730694;0.2658073250040618
Canis lupus lupus;Femelle;74810;76080;1270;-325.5326678751165;2106000.0;1080.0;0.8160000000000001;288.0;[-0.1573121548024521, 0.2089499949707259, 0.3598088775285529];3;0.26380159417475174;0.34280329983415686;0.7615695770145008;0.889032256515501;0.3958429406836379
Meles meles;Male;74830;108050;33220;-11.685212837322979;576000.0;384.0;0.5760000000000001;172.8;[-0.1259767638605591, -0.22416983675675828];3;0.29190939947596456;0.32952401589750735;0.6912623740803797;0.8134657942699345;0.162010187695515
Meles meles;Male;75180;106720;31540;-56.54847058605524;547200.0;364.8;0.5232000000000001;164.16;[-0.2857077259763478, -0.41794340239931216];4;0.3780945317377762;0.47034015380755545;0.8757328487815119;0.8723236914559239;0.06041942660121287
Meles meles;Male;75260;108490;33230;-54.25886779007089;576000.0;384.0;0.5760000000000001;172.8;[-0.26710351212056244, 0.24469190825018983, 0.11500734970770513, 0.037101636808671];3;0.14008974327333146;0.4840638378509482;0.6948372127103712;0.6146923921366768;0.21620303470093472
Vulpes vulpes;Femelle;75410;133930;58520;180.0742922437356;640000.0;320.0;1.24;288.0;[-0.09153168312970442, 0.11038452831117501, 0.4073617499919232];2;0.4759271985114889;0.5227137057510501;0.9350924223971951;0.8237999635154127;0.33509784773816087
Meles meles;Femelle;76520;100450;23930;-66.05537826749092;547200.0;364.8;0.5712;164.16;[-0.2511006027961976];4;0.25997501418628793;0.35328375848816435;0.9418442238816653;0.9232162378800047;0.35109328418097824
Meles meles;Male;76610;107530;30920;-14.309525313731696;535680.0;357.12;0.5212800000000001;160.704;[-0.24624409580031345, 0.19817793066567457, 0.09329019655498522, 0.06159762235046967];5;0.37714072917276753;0.43195961078964923;0.767161096049748;0.6760688744759975;0.3150878878427947
Meles meles;Male;76710;109940;33230;2.588219907380733;576000.0;384.0;0.5760000000000001;172.8;[-0.08759892068180604, 0.17191907302364717, -0.01042280056321429, -0.15433726838329073];3;0.36416154266704126;0.5413047029376867;0.794206218934309;0.8285327379472256;0.2936091860280722
Vulpes vulpes;Male;76880;128030;51150;142.37478311424803;640000.0;320.0;1.24;288.0;[-0.1998639498233276, 0.10651666683369404, 0.46528250163662366, 0.6004070021765867, 0.467379795543881];2;0.342902378850497;0.5340846134914982;0.9192623343170049;0.894856212601339;0.35941004136285337
Vulpes vulpes;Male;76890;118540;41650;26.37478311424802;640000.0;320.0;1.24;288.0;[-0.19480534814985753, 0.050736442932437176, 0.4259091243715796];2;0.4994164787157677;0.42357271249025574;0.86312877481504;0.8151359170382738;0.41280793426832313
Vulpes vulpes;Femelle;76890;85000;8110;-89.62521688575198;640000.0;320.0;1.24;288.0;[-0.04886455968480268, 0.07643085111112544, 0.36143212087436205];2;0.3522700535951392;0.4126261524112764;0.9505330001280039;0.8406483115328367;0.4002660709216067
Meles meles;Femelle;77880;115260;37380;-52.950525191280306;576000.0;384.0;0.5760000000000001;172.8;[-0.3527812497933085, 0.2436541079351332, -0.03632018017129329, -0.1660155146937583];3;0.1491666039889828;0.4358011491187931;0.8775746243625488;0.8286915516782062;0.31402972821017844
